datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2018-01-01,38.3,19.4,28.8,10.9,49.6,0.0,6.5,8.0,Clear
2018-01-02,35.9,22.0,28.6,10.3,50.7,0.0,10.2,7.7,Partially cloudy
2018-01-03,30.5,18.7,24.7,4.6,42.4,0.0,10.3,8.2,Partially cloudy
2018-01-04,29.9,16.8,22.7,5.2,47.5,0.0,6.0,8.0,Partially cloudy
2018-01-05,34.8,19.2,26.1,11.1,53.3,0.0,9.1,7.3,Partially cloudy
2018-01-06,36.8,16.7,26.3,10.1,52.3,0.0,6.1,7.3,Clear
2018-01-07,36.8,17.6,28.6,12.8,53.2,0.0,4.3,7.1,Partially cloudy
2018-01-08,40.0,32.2,34.8,18.7,53.2,0.376,14.8,5.9,Snow Rain Overcast
2018-01-09,31.0,21.4,26.2,13.5,58.7,0.033,14.0,7.2,Snow Partially cloudy
2018-01-10,24.0,14.9,19.7,6.2,57.3,0.048,18.1,7.5,Snow Partially cloudy
2018-01-11,18.6,7.6,13.3,-2.0,50.0,0.0,9.3,8.0,Clear
2018-01-12,22.1,3.4,13.2,-6.9,40.8,0.0,6.6,8.3,Clear
2018-01-13,31.1,20.0,24.4,14.7,67.0,0.015,6.8,5.1,Snow Rain Partially cloudy
2018-01-14,41.8,21.2,31.9,22.0,67.8,0.007,10.2,4.1,Rain Partially cloudy
2018-01-15,45.6,32.4,39.9,27.7,63.1,0.008,7.8,4.4,Rain Partially cloudy
2018-01-16,44.3,27.9,36.8,26.2,66.3,0.0,5.4,2.4,Overcast
2018-01-17,47.4,33.1,38.9,29.4,69.0,0.007,11.3,2.3,Snow Rain Partially cloudy
2018-01-18,40.5,32.1,35.8,23.9,64.2,0.0,9.5,3.8,Partially cloudy
2018-01-19,42.0,24.9,33.4,14.0,46.0,0.0,8.1,7.3,Partially cloudy
2018-01-20,43.8,25.7,34.8,23.0,62.4,0.0,8.1,4.9,Partially cloudy
2018-01-21,42.0,21.5,31.2,11.8,48.4,0.0,5.0,6.0,Clear
2018-01-22,41.1,26.1,33.0,18.8,58.7,0.126,14.5,6.1,Snow Rain Overcast
2018-01-23,23.4,8.5,13.6,-3.9,45.9,0.124,16.4,8.1,Snow Partially cloudy
2018-01-24,13.3,3.9,8.0,-15.8,32.2,0.0,15.5,8.3,Clear
2018-01-25,15.0,3.1,8.0,-14.9,33.8,0.0,12.7,8.3,Partially cloudy
2018-01-26,11.7,0.8,6.4,-15.7,34.8,0.0,13.8,8.2,Clear
2018-01-27,25.4,3.1,13.2,-6.5,42.2,0.0,6.5,7.9,Clear
2018-01-28,31.2,17.3,22.4,-0.8,36.6,0.0,12.2,8.2,Partially cloudy
2018-01-29,24.0,12.5,17.6,-4.5,38.0,0.0,17.2,8.3,Clear
2018-01-30,30.5,8.6,21.2,8.6,60.2,0.109,7.4,6.6,Snow Rain Partially cloudy
2018-01-31,32.4,21.1,28.5,13.6,56.3,0.115,8.6,7.4,Snow Partially cloudy
2018-02-01,34.8,14.1,24.3,6.0,48.2,0.0,7.3,8.1,Clear
2018-02-02,38.6,15.7,26.2,9.9,52.8,0.0,6.8,7.6,Clear
2018-02-03,27.6,15.4,20.9,4.1,49.4,0.004,13.6,7.5,Snow Partially cloudy
2018-02-04,22.2,10.0,15.9,-4.4,40.7,0.002,10.8,7.9,Snow
2018-02-05,23.0,11.1,16.1,-6.1,37.7,0.0,14.2,8.3,Clear
2018-02-06,22.2,9.7,15.1,-7.4,35.8,0.0,10.3,8.2,Clear
2018-02-07,28.6,5.2,16.8,-3.5,42.6,0.0,6.7,8.0,Partially cloudy
2018-02-08,34.8,11.4,22.6,5.3,49.9,0.0,4.9,7.7,Clear
2018-02-09,42.9,17.9,31.2,12.7,48.2,0.0,10.3,6.5,Partially cloudy
2018-02-10,39.4,21.3,32.4,12.8,49.6,0.0,14.9,5.4,Partially cloudy
2018-02-11,27.7,14.4,21.6,0.9,41.4,0.038,12.5,8.1,Snow Partially cloudy
2018-02-12,28.6,12.0,21.5,1.8,43.1,0.003,13.5,8.0,Snow Partially cloudy
2018-02-13,40.2,14.8,28.9,15.7,59.3,0.002,13.9,8.1,Snow Partially cloudy
2018-02-14,48.4,28.4,38.8,22.5,53.5,0.0,14.5,7.0,Partially cloudy
2018-02-15,38.7,24.9,31.4,2.8,30.5,0.0,8.5,8.2,Partially cloudy
2018-02-16,40.2,18.5,29.7,9.3,44.6,0.0,11.2,8.1,Partially cloudy
2018-02-17,34.7,20.7,27.5,-1.9,29.0,0.0,13.3,8.2,Partially cloudy
2018-02-18,41.1,22.2,30.4,2.2,31.2,0.0,6.6,8.3,Partially cloudy
2018-02-19,44.7,23.8,34.0,16.7,50.1,0.0,6.6,6.7,Partially cloudy
2018-02-20,42.2,23.3,33.1,11.7,48.7,0.0,11.3,5.6,Partially cloudy
2018-02-21,39.5,22.1,31.4,2.5,31.1,0.0,9.6,8.4,Partially cloudy
2018-02-22,43.0,22.6,33.5,19.9,58.0,0.0,12.7,7.4,Partially cloudy
2018-02-23,48.5,27.2,39.4,32.8,78.2,0.157,12.7,2.0,Snow Rain Partially cloudy
2018-02-24,44.0,30.4,36.9,19.9,54.6,0.0,8.3,4.9,Partially cloudy
2018-02-25,45.6,28.6,35.2,14.1,43.8,0.0,7.6,7.6,Partially cloudy
2018-02-26,50.2,23.7,35.8,17.4,51.0,0.0,6.9,6.9,Clear
2018-02-27,45.7,26.5,38.2,22.5,54.0,0.0,4.3,5.2,Partially cloudy
