datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2002-01-01,34.0,20.8,26.0,15.1,64.6,0.114,17.2,7.4,Snow Partially cloudy
2002-01-02,20.7,10.7,16.1,2.6,55.1,0.0,11.7,9.1,Clear
2002-01-03,30.3,6.8,19.0,8.4,63.2,0.0,6.1,8.2,Partially cloudy
2002-01-04,44.3,22.3,34.0,27.4,76.6,0.054,13.1,4.2,Snow Rain Partially cloudy
2002-01-05,35.5,16.6,30.1,16.2,57.3,0.0,10.9,8.4,Clear
2002-01-06,40.4,13.2,27.6,15.1,61.7,0.0,6.1,8.1,Clear
2002-01-07,38.0,19.9,29.5,20.1,68.8,0.084,18.6,6.6,Snow Rain Partially cloudy
2002-01-08,27.8,14.1,20.5,8.2,59.1,0.0,14.9,7.6,Partially cloudy
2002-01-09,35.2,16.1,24.9,14.0,63.9,0.0,6.7,7.3,Clear
2002-01-10,41.3,28.4,35.4,27.1,71.9,0.0,9.1,4.7,Overcast
2002-01-11,46.4,21.4,37.3,30.6,78.7,0.0,8.0,2.6,Partially cloudy
2002-01-12,48.9,18.2,33.3,27.7,81.5,0.0,8.1,2.7,Partially cloudy
2002-01-13,51.9,27.2,40.8,32.0,72.4,0.0,12.1,3.4,Partially cloudy
2002-01-14,58.8,35.9,46.9,41.4,82.2,0.066,8.6,4.5,Rain Overcast
2002-01-15,56.4,43.4,51.0,49.6,95.3,0.385,10.7,0.9,Rain Overcast
2002-01-16,54.0,37.5,44.9,39.9,83.0,0.374,15.7,6.6,Rain Overcast
2002-01-17,40.2,31.0,36.8,34.3,90.5,0.061,21.8,5.0,Rain Partially cloudy
2002-01-18,43.9,29.9,35.9,31.1,83.1,0.0,7.5,5.5,Partially cloudy
2002-01-19,50.1,28.3,37.6,31.2,78.7,0.0,8.3,6.0,Partially cloudy
2002-01-20,40.1,31.9,35.1,32.6,90.9,0.305,9.6,1.6,Snow Rain Partially cloudy
2002-01-21,36.0,22.4,32.0,27.3,83.4,0.162,15.2,3.6,Snow Rain Partially cloudy
2002-01-22,28.7,19.9,24.4,13.3,62.5,0.054,16.2,7.1,Snow Partially cloudy
2002-01-23,32.2,19.6,24.6,14.2,65.1,0.0,11.3,7.4,Clear
2002-01-24,35.7,15.7,25.3,13.8,62.5,0.0,7.8,8.2,Clear
2002-01-25,39.1,15.6,26.4,14.9,63.1,0.0,9.3,7.2,Clear
2002-01-26,38.2,22.9,31.8,24.2,74.2,0.02,6.9,5.0,Rain Partially cloudy
2002-01-27,35.8,25.4,31.7,22.7,69.3,0.027,11.3,3.9,Snow Rain Partially cloudy
2002-01-28,33.9,22.0,26.9,15.0,61.4,0.0,13.7,7.3,Clear
2002-01-29,39.1,15.8,27.9,16.2,62.3,0.027,11.5,8.2,Snow Rain Partially cloudy
2002-01-30,37.7,24.9,31.3,17.6,58.3,0.004,11.3,7.4,Snow Rain
2002-01-31,35.6,17.5,27.8,11.0,50.8,0.0,9.4,8.1,Clear
2002-02-01,42.9,19.2,32.6,24.3,71.7,0.0,13.1,8.0,Partially cloudy
2002-02-02,46.2,28.4,37.3,27.5,70.9,0.0,8.8,4.8,Partially cloudy
2002-02-03,50.2,22.7,35.2,23.9,67.1,0.0,8.6,4.3,Clear
2002-02-04,48.2,23.1,34.9,24.3,68.1,0.0,6.4,3.2,Partially cloudy
2002-02-05,50.0,25.0,37.9,26.0,64.5,0.0,6.3,4.5,Partially cloudy
2002-02-06,49.8,35.3,42.2,34.9,75.7,0.027,11.4,2.7,Rain Partially cloudy
2002-02-07,49.1,27.6,38.3,24.2,61.0,0.027,9.1,5.2,Snow Rain
2002-02-08,42.7,26.5,35.5,24.2,65.3,0.027,13.9,7.2,Snow Rain Partially cloudy
2002-02-09,34.1,21.1,27.7,2.4,34.3,0.0,11.4,8.8,Partially cloudy
2002-02-10,35.7,22.9,30.1,16.8,58.8,0.054,13.9,7.1,Snow Rain Partially cloudy
2002-02-11,38.9,15.7,27.5,9.7,49.2,0.027,21.2,8.0,Snow Partially cloudy
2002-02-12,37.4,15.8,28.5,8.8,46.6,0.0,12.0,8.1,Partially cloudy
2002-02-13,41.0,24.3,31.4,16.7,56.9,0.0,13.3,8.2,Clear
2002-02-14,41.9,19.4,31.8,13.0,48.7,0.0,10.9,8.5,Clear
2002-02-15,45.1,20.8,33.8,21.1,61.6,0.0,9.2,7.9,Clear
2002-02-16,44.6,25.8,35.9,29.5,78.1,0.0,6.9,3.9,Partially cloudy
2002-02-17,42.9,31.3,37.3,30.1,76.0,0.039,14.4,4.7,Snow Rain Partially cloudy
2002-02-18,40.5,24.5,30.1,11.6,47.1,0.0,14.2,9.0,Clear
2002-02-19,39.3,22.5,30.3,9.1,41.7,0.0,10.2,8.7,Clear
2002-02-20,49.7,21.7,36.0,26.8,70.1,0.0,7.1,7.9,Partially cloudy
2002-02-21,43.2,30.3,37.4,32.1,81.7,0.04,7.3,3.7,Rain Partially cloudy
2002-02-22,49.9,32.5,40.6,31.8,73.3,0.0,8.7,3.4,Partially cloudy
2002-02-23,48.3,29.6,38.4,19.9,50.7,0.0,8.6,7.5,Partially cloudy
2002-02-24,53.3,26.0,40.0,23.6,54.2,0.0,7.7,7.5,Clear
2002-02-25,48.3,32.8,41.1,28.3,61.6,0.0,7.5,7.3,Partially cloudy
