datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2006-01-01,35.4,27.5,33.2,30.1,88.8,0.0,6.8,2.6,Overcast
2006-01-02,38.9,25.2,31.5,27.1,84.6,0.0,11.3,2.6,Partially cloudy
2006-01-03,33.8,19.4,27.1,7.7,45.2,0.0,14.3,7.4,Partially cloudy
2006-01-04,24.2,17.7,21.4,3.7,46.5,0.0,17.0,7.5,Overcast
2006-01-05,26.3,9.4,17.9,0.1,47.2,0.0,8.6,7.5,Partially cloudy
2006-01-06,25.2,9.6,17.7,1.3,51.3,0.0,15.8,7.4,Partially cloudy
2006-01-07,28.3,10.8,19.5,0.9,45.4,0.0,14.5,7.7,Clear
2006-01-08,32.3,7.7,21.1,6.2,55.8,0.0,6.4,7.4,Partially cloudy
2006-01-09,37.6,13.7,26.6,15.6,66.3,0.0,7.0,6.3,Partially cloudy
2006-01-10,36.2,20.9,29.5,24.9,84.0,0.004,7.8,2.7,Snow Rain Partially cloudy
2006-01-11,36.8,15.5,26.6,13.2,62.1,0.0,6.7,4.6,Clear
2006-01-12,41.0,17.1,30.9,16.4,59.9,0.001,11.3,5.4,Rain Partially cloudy
2006-01-13,42.5,35.1,38.3,37.7,97.8,1.298,17.0,2.7,Snow Rain Overcast
2006-01-14,47.0,32.3,37.7,33.2,85.0,0.0,8.5,4.9,Partially cloudy
2006-01-15,45.3,29.1,35.8,31.5,85.5,0.0,8.7,4.3,Partially cloudy
2006-01-16,38.3,25.9,32.1,28.0,85.6,0.0,7.2,2.9,Partially cloudy
2006-01-17,39.3,25.3,32.1,21.6,66.9,0.0,7.9,4.1,Partially cloudy
2006-01-18,40.7,25.7,32.0,21.8,67.4,0.0,8.1,4.5,Partially cloudy
2006-01-19,43.4,22.4,32.8,23.9,71.1,0.0,8.0,6.6,Partially cloudy
2006-01-20,41.8,26.0,33.6,25.0,71.7,0.0,8.9,7.4,Partially cloudy
2006-01-21,40.2,23.9,32.0,18.9,60.2,0.0,9.5,7.2,Partially cloudy
2006-01-22,30.6,21.5,26.2,8.4,48.7,0.0,18.1,7.6,Clear
2006-01-23,30.3,14.0,22.2,6.8,53.1,0.0,10.4,7.5,Clear
2006-01-24,34.0,13.2,24.2,8.7,55.2,0.0,7.4,7.5,Clear
2006-01-25,37.5,18.3,27.6,16.1,64.8,0.0,5.1,5.9,Partially cloudy
2006-01-26,38.4,19.8,29.2,21.5,74.8,0.0,9.0,3.3,Partially cloudy
2006-01-27,41.1,21.9,32.2,24.5,75.8,0.0,13.5,2.6,Partially cloudy
2006-01-28,42.5,20.2,30.7,20.5,68.7,0.0,7.8,3.0,Clear
2006-01-29,48.6,22.8,36.2,26.9,72.0,0.0,7.8,3.6,Partially cloudy
2006-01-30,46.4,33.1,38.9,31.8,77.0,0.0,8.6,3.1,Partially cloudy
2006-01-31,44.3,32.3,37.6,33.3,84.9,0.039,8.0,4.5,Rain Overcast
2006-02-01,40.7,25.8,35.0,24.4,68.0,0.0,16.1,6.6,Partially cloudy
2006-02-02,34.0,20.3,27.3,12.5,54.2,0.0,16.1,7.5,Partially cloudy
2006-02-03,16.4,6.3,11.1,-6.9,45.0,0.0,16.7,7.3,Clear
2006-02-04,23.1,6.2,14.1,-3.8,46.0,0.0,14.1,7.4,Clear
2006-02-05,29.0,9.6,20.4,2.4,48.2,0.0,7.9,7.6,Partially cloudy
2006-02-06,40.1,22.2,30.2,8.7,42.5,0.0,6.6,7.7,Partially cloudy
2006-02-07,33.9,23.8,30.0,25.1,83.0,0.197,17.4,3.6,Snow Rain Overcast
2006-02-08,24.6,14.7,19.5,6.8,58.4,0.002,14.7,6.7,Snow Partially cloudy
2006-02-09,31.5,8.4,21.7,12.3,68.1,0.0,10.9,7.0,Partially cloudy
2006-02-10,39.2,29.0,34.0,24.8,69.2,0.0,14.4,5.6,Partially cloudy
2006-02-11,40.9,24.4,32.7,20.7,67.2,0.0,13.5,4.0,Partially cloudy
2006-02-12,35.3,20.0,27.4,10.4,50.1,0.0,11.6,7.7,Clear
2006-02-13,50.3,23.3,37.5,23.4,58.4,0.0,11.8,7.4,Partially cloudy
2006-02-14,45.2,37.5,41.8,40.5,95.4,0.219,9.4,1.5,Rain Overcast
2006-02-15,43.0,33.0,38.1,35.2,90.0,0.0,6.8,1.4,Partially cloudy
2006-02-16,44.2,23.8,34.4,22.7,66.9,0.0,17.3,4.6,Partially cloudy
2006-02-17,28.7,18.1,23.3,2.8,42.7,0.0,16.4,7.7,Partially cloudy
2006-02-18,41.1,21.5,30.7,19.2,64.1,0.0,12.7,7.3,Partially cloudy
