datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2016-01-01,42.0,23.1,33.5,25.8,74.9,0.0,6.9,4.1,Partially cloudy
2016-01-02,51.0,33.3,42.3,34.6,74.4,0.0,7.8,5.0,Partially cloudy
2016-01-03,50.1,35.4,42.6,37.8,84.0,0.0,5.6,1.9,Partially cloudy
2016-01-04,42.0,30.5,37.9,21.5,54.8,0.0,11.5,5.0,Partially cloudy
2016-01-05,34.0,24.0,28.6,5.4,38.4,0.0,8.9,8.3,Partially cloudy
2016-01-06,36.6,22.2,29.9,15.6,55.4,0.0,5.8,7.6,Partially cloudy
2016-01-07,33.9,20.3,27.5,10.3,50.4,0.0,9.2,7.6,Clear
2016-01-08,34.8,18.6,26.4,9.8,52.0,0.0,9.7,8.1,Clear
2016-01-09,35.8,18.4,28.7,15.3,58.2,0.0,12.3,7.9,Partially cloudy
2016-01-10,40.2,29.5,33.8,12.7,45.4,0.0,9.5,8.0,Partially cloudy
2016-01-11,33.1,20.4,26.4,3.4,38.0,0.0,9.0,8.1,Clear
2016-01-12,33.0,13.9,23.5,4.5,45.6,0.0,8.0,7.8,Partially cloudy
2016-01-13,32.1,16.4,24.5,13.6,64.2,0.017,10.2,7.2,Snow Partially cloudy
2016-01-14,34.4,14.2,25.1,9.0,52.4,0.004,7.5,8.0,Snow Rain Partially cloudy
2016-01-15,41.2,25.8,31.3,17.5,59.5,0.0,5.7,7.0,Partially cloudy
2016-01-16,40.2,24.1,31.6,22.3,68.9,0.004,7.8,4.6,Snow Rain Partially cloudy
2016-01-17,42.0,27.7,33.9,24.6,69.7,0.0,6.7,4.2,Partially cloudy
2016-01-18,33.9,12.0,23.5,9.6,57.6,0.008,21.7,5.7,Snow Partially cloudy
2016-01-19,18.5,5.5,11.1,-7.7,42.5,0.0,18.3,8.2,Partially cloudy
2016-01-20,21.3,7.3,14.1,-4.6,43.5,0.0,6.8,8.2,Partially cloudy
2016-01-21,27.6,13.8,20.0,2.4,47.2,0.0,5.9,8.1,Partially cloudy
2016-01-22,26.8,10.5,19.2,-1.4,42.0,0.0,10.0,8.0,Partially cloudy
2016-01-23,19.6,7.1,14.4,-7.3,37.2,0.0,17.3,8.3,Partially cloudy
2016-01-24,14.9,0.0,7.3,-10.8,43.4,0.0,12.0,7.9,Clear
2016-01-25,25.7,4.9,15.1,-2.3,47.4,0.0,17.2,8.0,Clear
2016-01-26,36.6,16.9,26.4,15.9,64.8,0.013,7.5,5.9,Snow Rain Partially cloudy
2016-01-27,38.4,19.6,30.4,16.4,57.6,0.0,7.8,6.7,Partially cloudy
2016-01-28,39.2,18.6,29.8,15.4,58.3,0.0,6.3,7.2,Partially cloudy
2016-01-29,42.8,27.9,35.1,15.2,45.0,0.0,7.9,8.2,Partially cloudy
2016-01-30,41.2,22.9,32.3,20.8,63.6,0.0,7.9,7.8,Partially cloudy
2016-01-31,32.9,21.5,26.9,2.1,35.2,0.0,7.9,7.9,Partially cloudy
2016-02-01,30.2,15.3,21.9,-2.4,35.0,0.0,10.6,8.1,Partially cloudy
2016-02-02,32.2,10.4,21.5,0.5,42.2,0.0,8.5,8.1,Clear
2016-02-03,39.2,13.2,26.2,10.1,52.5,0.0,7.9,8.0,Partially cloudy
2016-02-04,41.0,21.2,31.1,14.7,55.0,0.0,11.4,6.8,Partially cloudy
2016-02-05,38.0,15.8,27.8,5.1,39.9,0.0,9.2,8.3,Clear
2016-02-06,35.7,21.1,27.5,5.5,39.8,0.0,9.9,8.1,Clear
2016-02-07,37.3,14.0,25.7,7.2,48.3,0.0,8.0,8.2,Clear
2016-02-08,44.6,20.4,34.3,21.8,60.5,0.0,15.1,6.6,Partially cloudy
2016-02-09,42.8,25.2,34.0,16.3,49.9,0.0,14.8,7.5,Clear
2016-02-10,50.9,21.1,34.7,13.8,48.2,0.0,6.7,8.1,Clear
2016-02-11,57.3,26.9,44.1,15.1,34.5,0.0,10.2,7.9,Partially cloudy
2016-02-12,50.1,44.4,48.0,44.7,88.8,0.904,12.5,2.6,Rain Overcast
2016-02-13,59.2,46.7,52.5,50.3,92.3,1.001,17.1,3.4,Rain Overcast
2016-02-14,42.6,23.2,30.8,22.4,72.0,0.112,15.2,5.8,Snow Partially cloudy
2016-02-15,29.3,15.2,22.8,4.7,46.8,0.0,11.6,8.1,Partially cloudy
2016-02-16,35.5,19.3,28.0,17.6,65.2,0.032,13.7,6.7,Snow Rain Partially cloudy
2016-02-17,41.9,21.2,31.7,16.4,55.3,0.0,11.0,8.3,Clear
2016-02-18,48.1,29.2,38.4,28.2,67.2,0.0,15.9,7.6,Partially cloudy
2016-02-19,41.9,28.5,36.3,23.8,62.8,0.0,11.5,4.7,Partially cloudy
2016-02-20,43.8,26.5,34.4,13.1,44.0,0.0,16.4,8.1,Partially cloudy
2016-02-21,38.7,24.9,31.4,7.1,36.9,0.0,13.9,8.3,Partially cloudy
2016-02-22,39.4,28.4,34.4,9.8,37.3,0.0,7.6,8.1,Overcast
2016-02-23,41.1,27.7,34.7,18.6,56.6,0.034,20.2,5.7,Snow Rain Partially cloudy
2016-02-24,35.6,17.7,26.9,6.9,43.3,0.0,11.6,8.3,Clear
2016-02-25,42.0,19.4,31.4,13.8,48.8,0.0,17.2,7.8,Partially cloudy
2016-02-26,45.3,26.0,36.2,13.7,43.1,0.002,8.1,7.1,Rain Partially cloudy
2016-02-27,46.2,33.0,38.2,26.1,64.1,0.036,7.8,4.4,Snow Rain Partially cloudy
2016-02-28,42.6,27.9,33.5,24.5,71.6,0.185,18.6,5.4,Snow Rain Partially cloudy
2016-02-29,31.1,23.3,27.0,10.2,49.4,0.0,15.9,7.7,Partially cloudy
2016-03-01,34.8,19.2,27.5,8.2,44.6,0.001,10.3,8.3,Snow Rain
2016-03-02,46.5,27.5,37.0,26.7,66.8,0.0,20.2,7.5,Partially cloudy
2016-03-03,55.6,39.8,46.2,34.6,65.0,0.0,9.0,5.4,Partially cloudy
2016-03-04,67.2,41.9,54.6,38.0,54.9,0.004,9.1,5.5,Rain Partially cloudy
2016-03-05,59.0,50.7,54.1,50.1,86.9,1.803,12.5,4.0,Rain Overcast
2016-03-06,55.1,38.2,46.8,31.0,60.4,0.007,8.5,5.8,Rain Partially cloudy
2016-03-07,53.7,38.3,45.7,26.4,48.4,0.0,7.7,7.6,Partially cloudy
2016-03-08,44.7,30.5,38.9,16.2,41.0,0.0,14.4,7.8,Partially cloudy
2016-03-09,41.1,27.9,33.5,10.3,38.8,0.0,15.7,8.3,Partially cloudy
2016-03-10,38.3,25.1,31.2,6.3,36.1,0.0,17.1,8.4,Partially cloudy
2016-03-11,40.1,22.6,31.7,10.0,41.8,0.0,10.1,8.3,Clear
2016-03-12,44.8,26.3,36.0,21.1,55.1,0.0,11.2,8.1,Partially cloudy
2016-03-13,44.7,32.1,38.8,28.2,65.7,0.004,5.7,6.6,Rain Partially cloudy
2016-03-14,48.9,33.3,40.7,26.2,60.0,0.0,10.7,4.7,Partially cloudy
2016-03-15,53.9,28.4,41.1,18.4,43.5,0.0,9.1,7.8,Partially cloudy
2016-03-16,56.4,35.7,45.2,25.3,50.9,0.0,9.3,7.2,Partially cloudy
2016-03-17,59.1,31.9,46.4,25.5,46.4,0.0,7.7,6.9,Partially cloudy
2016-03-18,67.6,44.9,53.8,36.7,53.8,0.0,8.0,6.0,Partially cloudy
2016-03-19,63.5,40.2,51.0,36.4,60.4,0.0,10.2,5.0,Clear
2016-03-20,63.5,35.5,48.5,32.7,57.5,0.0,11.3,5.9,Clear
2016-03-21,60.2,37.4,48.4,32.1,56.2,0.0,11.5,5.5,Clear
2016-03-22,56.0,32.2,45.1,29.3,59.1,0.0,9.4,4.6,Partially cloudy
2016-03-23,55.3,39.4,46.7,26.3,51.8,0.016,14.2,4.8,Rain Partially cloudy
2016-03-24,54.2,32.4,44.1,18.7,38.4,0.0,10.9,8.2,Clear
2016-03-25,52.9,33.9,43.8,23.9,48.1,0.0,8.6,8.2,Partially cloudy
2016-03-26,53.7,28.5,42.5,25.8,55.3,0.0,11.4,6.6,Clear
2016-03-27,54.6,31.8,43.8,25.7,54.2,0.0,13.8,6.2,Clear
2016-03-28,62.3,33.5,47.6,25.5,49.0,0.0,9.2,6.1,Clear
2016-03-29,63.7,44.6,52.8,37.0,56.3,0.004,19.6,4.5,Rain Partially cloudy
2016-03-30,64.6,43.8,52.5,32.9,54.1,0.0,10.3,4.3,Partially cloudy
2016-03-31,69.9,39.2,54.4,22.7,34.8,0.0,8.0,7.7,Partially cloudy
2016-04-01,73.5,40.2,57.2,25.2,33.0,0.0,10.8,8.0,Partially cloudy
2016-04-02,70.5,44.4,57.5,31.8,40.5,0.0,12.7,7.1,Clear
2016-04-03,55.7,45.3,51.3,42.4,72.1,0.076,8.7,4.9,Rain Partially cloudy
2016-04-04,67.1,39.7,52.6,28.6,48.0,0.0,10.4,8.2,Partially cloudy
2016-04-05,63.2,37.5,51.6,27.3,44.0,0.0,12.7,8.3,Clear
2016-04-06,73.3,39.2,56.5,30.5,43.5,0.039,10.8,6.7,Rain Partially cloudy
2016-04-07,69.4,48.4,56.9,44.8,67.9,0.595,16.1,5.6,Rain Partially cloudy
2016-04-08,62.8,46.5,51.4,43.4,75.2,0.0,16.9,3.2,Partially cloudy
2016-04-09,59.5,45.0,51.3,45.9,82.1,0.0,6.8,2.0,Partially cloudy
2016-04-10,68.3,50.3,56.6,48.1,74.7,0.0,11.4,2.0,Partially cloudy
2016-04-11,65.5,42.4,53.9,31.8,46.7,0.001,9.1,7.9,Rain
2016-04-12,67.1,49.7,57.1,35.2,44.7,0.0,9.2,7.5,Partially cloudy
2016-04-13,70.4,52.0,59.4,47.9,67.3,0.047,7.8,5.2,Rain Partially cloudy
2016-04-14,64.6,44.7,53.0,45.9,78.4,0.0,10.9,3.7,Partially cloudy
2016-04-15,72.7,41.3,56.7,36.1,52.7,0.0,14.5,6.4,Clear
2016-04-16,69.8,46.5,58.2,42.6,59.5,1.222,13.7,6.5,Rain Partially cloudy
2016-04-17,59.0,48.3,53.1,41.9,67.6,1.637,19.4,6.5,Rain Partially cloudy
2016-04-18,64.5,44.8,52.6,39.2,63.2,0.153,19.5,6.9,Rain Partially cloudy
2016-04-19,65.5,43.1,52.9,38.2,60.0,0.0,12.0,7.8,Partially cloudy
2016-04-20,66.9,49.8,57.3,40.4,55.9,0.054,13.4,7.1,Rain Partially cloudy
2016-04-21,62.8,50.7,56.4,51.5,83.9,0.847,12.4,4.7,Rain Overcast
2016-04-22,65.5,50.3,56.7,51.3,82.5,0.014,11.4,3.0,Rain Partially cloudy
