datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2022-01-01,35.6,13.7,23.5,4.6,44.3,0.0,5.5,12.5,Clear
2022-01-02,36.6,24.1,30.1,16.9,58.9,0.117,8.1,10.7,Snow Rain Partially cloudy
2022-01-03,35.9,18.1,27.7,13.8,56.4,0.001,6.5,12.4,Snow Rain Partially cloudy
2022-01-04,33.9,23.0,28.6,12.9,54.8,0.0,8.3,12.2,Clear
2022-01-05,35.0,18.1,26.5,8.5,46.7,0.0,5.6,12.2,Partially cloudy
2022-01-06,37.6,21.3,28.6,10.3,47.3,0.0,9.2,12.0,Clear
2022-01-07,40.1,21.5,29.0,10.3,47.4,0.0,5.4,11.4,Clear
2022-01-08,38.6,23.0,31.6,20.1,62.6,0.0,6.3,9.7,Partially cloudy
2022-01-09,41.9,30.4,35.1,26.7,72.5,0.0,5.8,2.8,Partially cloudy
2022-01-10,40.2,26.1,32.6,22.1,66.5,0.0,6.1,5.1,Partially cloudy
2022-01-11,32.2,14.1,20.4,7.3,57.3,0.414,12.7,11.1,Snow
2022-01-12,25.1,11.6,18.0,1.6,49.0,0.0,7.9,12.3,Partially cloudy
2022-01-13,26.3,16.9,20.9,2.5,44.6,0.0,12.5,12.3,Partially cloudy
2022-01-14,34.0,14.1,22.8,2.4,42.3,0.0,6.2,12.3,Clear
2022-01-15,35.1,22.6,29.5,11.9,47.5,0.0,6.8,12.3,Partially cloudy
2022-01-16,36.5,20.7,29.9,14.5,54.5,0.0,10.1,10.5,Partially cloudy
2022-01-17,31.7,15.4,22.0,9.2,58.2,0.372,8.9,11.6,Snow Partially cloudy
2022-01-18,30.5,15.0,21.8,4.1,47.6,0.019,6.9,12.3,Snow
2022-01-19,27.2,19.1,22.8,14.4,70.4,1.119,7.6,8.0,Snow Partially cloudy
2022-01-20,33.2,14.4,23.0,12.2,64.7,0.064,7.8,10.4,Snow
2022-01-21,39.5,16.6,27.0,12.3,56.1,0.0,6.0,12.1,Clear
2022-01-22,43.9,22.9,31.8,15.8,53.0,0.0,6.9,12.1,Partially cloudy
2022-01-23,43.1,31.1,35.6,19.3,51.3,0.0,6.4,10.0,Partially cloudy
2022-01-24,46.7,33.7,39.8,25.3,57.0,0.0,11.4,12.1,Partially cloudy
2022-01-25,40.2,35.7,37.5,31.0,78.1,0.198,9.8,8.1,Snow Rain Overcast
2022-01-26,43.8,28.9,34.8,23.0,65.1,0.007,7.8,8.0,Snow Rain Partially cloudy
2022-01-27,38.6,23.9,30.7,13.6,49.6,0.0,7.7,10.2,Partially cloudy
2022-01-28,35.7,21.8,27.6,11.3,50.8,0.0,10.8,12.3,Partially cloudy
2022-01-29,33.0,19.4,25.6,8.0,48.5,0.0,9.9,12.3,Clear
2022-01-30,35.8,17.7,26.7,7.2,44.9,0.0,8.9,12.3,Clear
2022-01-31,40.2,19.8,30.0,16.0,56.7,0.0,8.4,11.4,Partially cloudy
2022-02-01,33.1,27.5,30.2,23.8,77.1,1.097,9.0,7.3,Snow Rain Partially cloudy
2022-02-02,31.7,21.8,26.2,14.2,62.3,0.002,8.4,10.6,Snow Partially cloudy
2022-02-03,32.3,19.6,26.2,10.5,52.8,0.0,9.9,12.3,Clear
