datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2014-01-01,47.3,28.9,39.6,25.0,56.6,0.0,16.3,6.0,Partially cloudy
2014-01-02,42.2,26.7,34.4,12.1,42.1,0.0,8.0,7.6,Clear
2014-01-03,45.6,26.6,35.2,22.3,60.7,0.0,10.0,6.7,Partially cloudy
2014-01-04,40.7,22.2,31.4,15.9,53.2,0.0,9.0,7.1,Clear
2014-01-05,38.6,21.2,29.6,13.9,53.5,0.0,7.9,7.4,Partially cloudy
2014-01-06,43.4,21.3,31.5,17.9,58.8,0.0,5.6,5.9,Clear
2014-01-07,42.7,29.0,35.9,23.8,62.3,0.0,5.7,3.8,Partially cloudy
2014-01-08,39.2,24.0,34.4,21.0,59.7,0.0,13.7,4.2,Partially cloudy
2014-01-09,24.9,13.9,19.3,-8.8,28.6,0.0,15.1,8.6,Clear
2014-01-10,30.1,14.8,22.6,6.6,50.9,0.0,7.8,7.7,Partially cloudy
2014-01-11,35.4,18.5,27.8,9.0,52.2,0.0,7.9,5.7,Partially cloudy
2014-01-12,37.0,19.6,27.7,8.1,46.6,0.0,15.1,6.2,Partially cloudy
2014-01-13,28.7,11.2,20.6,-7.1,29.8,0.0,10.0,8.5,Clear
2014-01-14,33.2,13.1,23.3,0.8,39.6,0.0,8.0,8.4,Clear
2014-01-15,35.0,14.8,24.9,8.5,52.1,0.0,8.0,6.5,Clear
2014-01-16,38.3,20.3,30.8,19.6,63.5,0.0,7.6,3.5,Partially cloudy
2014-01-17,38.9,19.6,29.9,17.8,63.9,0.0,5.8,2.7,Partially cloudy
2014-01-18,34.8,22.3,29.0,9.4,45.3,0.0,18.3,6.3,Clear
2014-01-19,35.1,15.7,26.5,8.3,47.6,0.0,8.6,6.9,Partially cloudy
2014-01-20,37.4,26.8,30.7,25.1,79.7,0.188,9.3,2.4,Snow Rain Overcast
2014-01-21,26.7,18.6,23.1,13.1,65.1,0.03,9.8,3.3,Snow Partially cloudy
2014-01-22,33.9,12.4,23.5,12.3,63.5,0.0,6.4,3.8,Clear
2014-01-23,39.3,17.6,29.0,19.6,69.1,0.0,7.4,5.0,Partially cloudy
2014-01-24,46.5,28.1,37.8,26.7,64.4,0.0,7.7,4.0,Partially cloudy
2014-01-25,42.5,32.0,39.5,32.0,74.6,0.139,11.9,3.2,Rain Partially cloudy
2014-01-26,35.7,21.5,27.9,9.0,45.5,0.0,13.9,8.3,Clear
2014-01-27,42.5,18.3,30.2,13.4,52.8,0.0,11.1,7.7,Clear
2014-01-28,39.4,24.1,34.7,18.6,56.6,0.019,12.8,6.0,Snow Rain Partially cloudy
2014-01-29,47.3,17.6,32.7,11.3,46.0,0.0,8.8,8.2,Partially cloudy
2014-01-30,43.5,30.2,39.2,27.8,66.2,0.04,10.2,4.5,Snow Rain Partially cloudy
2014-01-31,43.8,22.1,32.5,8.7,39.3,0.0,6.8,8.3,Clear
