datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2000-01-01,48.9,26.6,41.3,31.0,67.9,0.0,8.8,5.9,Partially cloudy
2000-01-02,46.3,32.0,41.6,32.0,68.8,0.234,11.3,5.9,Snow Rain Partially cloudy
2000-01-03,35.3,23.2,28.5,16.7,62.5,0.0,10.1,7.0,Partially cloudy
2000-01-04,39.1,19.6,30.8,17.7,60.7,0.0,5.7,5.7,Partially cloudy
2000-01-05,41.1,32.7,37.2,30.0,76.8,0.659,10.6,4.3,Snow Rain Overcast
2000-01-06,42.6,26.6,37.2,31.4,80.4,0.027,11.4,4.3,Snow Partially cloudy
2000-01-07,24.7,10.7,18.5,4.6,54.7,0.053,13.9,7.8,Snow Partially cloudy
2000-01-08,33.5,19.3,24.9,17.9,75.4,0.025,10.1,5.2,Snow Partially cloudy
2000-01-09,33.7,17.3,26.8,18.1,70.7,0.0,8.0,6.1,Partially cloudy
2000-01-10,38.7,21.5,31.4,19.7,63.2,0.008,10.4,5.8,Snow Rain Partially cloudy
2000-01-11,41.0,14.2,30.2,17.9,61.8,0.0,8.9,7.3,Partially cloudy
2000-01-12,41.0,37.0,39.3,32.0,75.8,0.079,10.8,6.4,Rain Overcast
2000-01-13,38.9,29.9,35.5,31.3,84.9,0.147,10.4,3.2,Snow Rain Overcast
2000-01-14,35.4,28.0,31.0,21.3,67.2,0.0,8.9,4.1,Overcast
2000-01-15,36.2,19.5,29.6,20.0,67.9,0.0,9.2,5.2,Partially cloudy
2000-01-16,40.9,23.9,32.5,22.2,66.9,0.03,11.4,4.9,Snow Rain Partially cloudy
2000-01-17,39.0,19.7,29.4,21.2,72.4,0.0,8.0,5.1,Partially cloudy
2000-01-18,37.2,19.3,27.8,18.1,69.1,0.0,8.1,5.1,Clear
2000-01-19,37.3,17.7,25.9,16.9,69.5,0.05,12.7,5.1,Snow Partially cloudy
2000-01-20,24.4,12.9,17.9,4.3,55.8,0.027,12.4,7.7,Snow Partially cloudy
2000-01-21,28.4,8.4,18.2,4.9,57.5,0.0,10.1,7.8,Clear
2000-01-22,34.4,20.4,27.3,15.2,62.0,0.02,8.8,5.6,Snow Rain Partially cloudy
2000-01-23,46.0,30.5,36.5,28.1,73.2,0.04,8.1,4.6,Snow Rain Partially cloudy
2000-01-24,33.5,22.9,28.7,17.2,62.1,0.0,11.1,5.2,Partially cloudy
2000-01-25,27.1,11.3,18.6,1.8,49.0,0.0,12.4,7.4,Clear
2000-01-26,23.6,9.1,16.2,1.6,53.5,0.0,12.1,8.1,Clear
2000-01-27,29.9,8.7,18.8,5.0,56.5,0.0,9.2,7.3,Clear
2000-01-28,38.7,10.5,23.8,13.3,66.8,0.0,9.0,5.6,Clear
2000-01-29,37.4,17.1,30.4,21.9,71.4,0.0,6.8,5.8,Partially cloudy
2000-01-30,33.8,19.3,27.0,15.5,63.1,0.027,15.0,6.8,Snow Partially cloudy
2000-01-31,22.5,13.8,17.7,3.1,53.8,0.0,14.9,7.6,Clear
2000-02-01,30.0,7.4,18.7,5.5,58.6,0.0,8.1,7.2,Partially cloudy
2000-02-02,35.4,10.6,22.9,13.9,70.1,0.0,8.0,6.0,Clear
2000-02-03,38.9,17.7,28.6,20.5,72.7,0.053,10.0,4.9,Snow Rain Partially cloudy
2000-02-04,38.8,10.5,25.9,14.8,65.5,0.0,8.9,4.8,Clear
2000-02-05,39.2,15.1,29.5,19.4,68.2,0.004,9.0,5.1,Snow Rain Partially cloudy
2000-02-06,37.3,30.0,32.9,27.6,81.3,0.064,12.6,3.6,Snow Rain Overcast
2000-02-07,35.4,24.6,30.5,22.7,72.9,0.027,11.5,3.5,Snow Partially cloudy
2000-02-08,27.8,16.0,20.6,5.4,52.0,0.0,14.8,6.9,Partially cloudy
2000-02-09,31.8,12.3,21.1,5.1,51.4,0.0,9.4,7.2,Clear
2000-02-10,37.4,7.3,25.9,11.3,55.0,0.0,8.9,7.6,Partially cloudy
2000-02-11,45.8,28.4,35.4,25.0,67.0,0.026,11.4,5.9,Snow Rain Partially cloudy
2000-02-12,44.5,19.5,35.2,27.9,75.7,0.0,6.9,3.0,Partially cloudy
2000-02-13,44.5,29.4,36.2,29.0,76.1,0.0,8.0,2.4,Partially cloudy
2000-02-14,39.0,24.6,33.2,20.8,62.6,0.037,12.9,5.3,Snow Rain Partially cloudy
2000-02-15,31.4,17.9,23.3,5.1,45.6,0.0,16.6,8.3,Partially cloudy
2000-02-16,35.4,14.1,23.5,6.3,48.1,0.0,12.8,8.0,Clear
2000-02-17,35.7,12.3,23.4,7.6,52.5,0.0,10.4,8.4,Clear
2000-02-18,38.9,12.3,27.1,9.5,49.1,0.0,11.3,7.6,Partially cloudy
2000-02-19,44.8,26.2,34.5,15.1,46.1,0.0,8.1,7.2,Partially cloudy
2000-02-20,42.4,22.6,30.9,17.4,59.2,0.0,12.0,7.0,Partially cloudy
